#{"t_start": 1684148938.8271773, "env_id": "FoRLCartPole-v0"}
r,l,t
16.0,16,0.08279
23.0,23,0.151669
16.0,16,0.202658
12.0,12,0.246275
15.0,15,0.293365
23.0,23,0.359968
13.0,13,0.402483
10.0,10,0.427111
24.0,24,0.497901
13.0,13,0.525409
19.0,19,0.584794
22.0,22,0.656158
13.0,13,0.688281
12.0,12,0.725044
12.0,12,0.75758
17.0,17,0.801059
54.0,54,0.930939
90.0,90,1.141754
30.0,30,1.210295
22.0,22,1.260326
32.0,32,1.335166
103.0,103,1.573033
36.0,36,1.669021
112.0,112,1.953112
129.0,129,2.267975
104.0,104,2.506504
200.0,200,2.975694
133.0,133,3.280855
118.0,118,3.542358
200.0,200,4.007967
200.0,200,4.465763
197.0,197,4.978761
200.0,200,5.425293
200.0,200,5.88923
145.0,145,6.218138
200.0,200,6.673656
200.0,200,7.15184
200.0,200,8.25719
195.0,195,8.726715
200.0,200,9.174283
200.0,200,9.646549
200.0,200,10.109785
200.0,200,10.555386
200.0,200,11.002712
190.0,190,11.429604
134.0,134,11.745912
66.0,66,11.892421
113.0,113,12.144356
118.0,118,12.407451
24.0,24,12.459532
82.0,82,12.640187
94.0,94,12.854892
129.0,129,13.129703
97.0,97,13.347855
88.0,88,13.532083
68.0,68,13.690584
90.0,90,13.889145
49.0,49,14.01506
90.0,90,14.248514
187.0,187,14.686491
126.0,126,14.982438
161.0,161,15.869345
95.0,95,16.109964
94.0,94,16.324497
134.0,134,16.632582
126.0,126,16.919628
190.0,190,17.331408
28.0,28,17.389619
200.0,200,17.845851
97.0,97,18.06056
200.0,200,18.499
200.0,200,18.955235
119.0,119,19.22277
134.0,134,19.531622
200.0,200,19.977806
118.0,118,20.241354
62.0,62,20.371736
91.0,91,20.568973
200.0,200,21.015067
200.0,200,21.461905
200.0,200,21.914725
200.0,200,22.350131
193.0,193,22.793519
200.0,200,23.902446
200.0,200,24.367656
200.0,200,24.81719
200.0,200,25.272481
187.0,187,25.733189
200.0,200,26.191164
91.0,91,26.396822
200.0,200,26.854435
200.0,200,27.296117
200.0,200,27.753958
200.0,200,28.217234
200.0,200,28.650665
200.0,200,29.098331
200.0,200,29.547948
200.0,200,29.996391
200.0,200,30.46221
200.0,200,31.566423
200.0,200,32.026745
200.0,200,32.49403
200.0,200,32.955307
136.0,136,33.265832
200.0,200,33.716938
200.0,200,34.152622
200.0,200,34.598513
200.0,200,35.07414
200.0,200,35.532039
200.0,200,36.002
200.0,200,36.453557
200.0,200,36.901131
200.0,200,37.384991
200.0,200,37.844572
200.0,200,38.295461
200.0,200,39.371464
200.0,200,39.835075
200.0,200,40.300587
200.0,200,40.731184
200.0,200,41.177082
200.0,200,41.63561
200.0,200,42.103518
200.0,200,42.580243
200.0,200,43.031403
200.0,200,43.480675
200.0,200,43.927626
200.0,200,44.406438
114.0,114,44.666023
172.0,172,45.059169
197.0,197,45.498125
200.0,200,45.939281
200.0,200,47.075085
128.0,128,47.369312
96.0,96,47.583286
97.0,97,47.796487
69.0,69,47.953487
38.0,38,48.045291
55.0,55,48.176132
54.0,54,48.292875
69.0,69,48.436679
39.0,39,48.522799
31.0,31,48.590724
40.0,40,48.67484
49.0,49,48.785263
33.0,33,48.858357
40.0,40,48.959296
33.0,33,49.034904
32.0,32,49.112762
33.0,33,49.184289
39.0,39,49.270293
19.0,19,49.317909
30.0,30,49.380436
24.0,24,49.443268
19.0,19,49.481838
20.0,20,49.531545
38.0,38,49.622464
27.0,27,49.685684
45.0,45,49.790032
41.0,41,49.881698
49.0,49,49.991038
52.0,52,50.105232
27.0,27,50.172074
76.0,76,50.348783
105.0,105,50.577278
103.0,103,50.804315
50.0,50,50.919558
97.0,97,51.135808
53.0,53,51.26554
41.0,41,51.358139
33.0,33,51.439422
80.0,80,51.618351
