#{"t_start": 1684149100.8180387, "env_id": "FoRLCartPoleRandomNormal-v0"}
r,l,t
33.0,33,0.123653
12.0,13,0.177555
44.0,45,0.289226
44.0,45,0.399163
23.0,24,0.448334
31.0,32,0.525434
25.0,26,0.586223
18.0,19,0.628551
27.0,28,0.696871
36.0,37,0.794708
18.0,19,0.839943
28.0,29,0.91207
32.0,33,1.000544
72.0,73,1.168619
28.0,29,1.232122
27.0,28,1.30102
49.0,50,1.417607
34.0,35,1.495024
59.0,60,1.632005
24.0,25,1.694909
122.0,123,1.97926
56.0,57,2.10365
171.0,172,2.49431
82.0,83,2.738367
200.0,200,3.211066
145.0,146,3.558022
130.0,131,3.872929
84.0,85,4.069006
200.0,200,4.514047
196.0,197,4.978004
171.0,172,5.363097
200.0,200,5.808577
200.0,200,6.279239
200.0,200,6.741362
200.0,200,7.177577
200.0,200,8.393308
200.0,200,8.858048
200.0,200,9.322682
200.0,200,9.792966
109.0,110,10.051716
200.0,200,10.48965
200.0,200,10.933456
200.0,200,11.395503
200.0,200,11.920736
200.0,200,12.396866
196.0,197,12.85716
190.0,191,13.289947
159.0,160,13.658281
200.0,200,14.106708
200.0,200,14.610225
200.0,200,15.065878
200.0,200,16.166159
200.0,200,16.640924
200.0,200,17.089386
200.0,200,17.549385
200.0,200,17.997975
200.0,200,18.44259
200.0,200,18.923051
200.0,200,19.372572
200.0,200,19.878101
200.0,200,20.416282
200.0,200,20.893238
200.0,200,21.378993
200.0,200,21.833687
200.0,200,22.280357
200.0,200,22.739544
200.0,200,23.197102
191.0,192,24.361084
123.0,124,24.671921
115.0,116,24.932283
78.0,79,25.107561
113.0,114,25.361521
137.0,138,25.684803
200.0,200,26.141731
130.0,131,26.447658
200.0,200,26.894968
200.0,200,27.324341
154.0,155,27.670509
200.0,200,28.131857
200.0,200,28.58139
200.0,200,29.036101
200.0,200,29.474205
200.0,200,29.93046
200.0,200,30.430235
200.0,200,30.887571
200.0,200,31.972101
200.0,200,32.433706
200.0,200,32.981715
200.0,200,33.613308
200.0,200,34.12946
200.0,200,34.606868
200.0,200,35.090798
200.0,200,35.54351
200.0,200,35.988264
200.0,200,36.451827
200.0,200,36.900199
200.0,200,37.361645
200.0,200,37.83092
200.0,200,38.271693
200.0,200,38.729335
200.0,200,39.182598
200.0,200,40.307371
200.0,200,40.749997
200.0,200,41.184227
200.0,200,41.629903
200.0,200,42.091689
200.0,200,42.534605
200.0,200,42.991955
200.0,200,43.434973
200.0,200,43.888237
200.0,200,44.343287
200.0,200,44.792859
200.0,200,45.229407
200.0,200,45.677344
200.0,200,46.130978
200.0,200,46.589969
200.0,200,47.649144
200.0,200,48.108255
200.0,200,48.548608
200.0,200,49.030088
200.0,200,49.519364
200.0,200,49.984781
200.0,200,50.457784
200.0,200,50.913559
200.0,200,51.364135
189.0,190,51.782854
110.0,111,52.03286
117.0,118,52.2954
80.0,81,52.509399
86.0,87,52.705302
43.0,44,52.806349
39.0,40,52.899871
46.0,47,53.002131
56.0,57,53.13161
58.0,59,53.281908
55.0,56,53.41472
34.0,35,53.493889
55.0,56,53.620929
38.0,39,53.718671
55.0,56,53.843407
25.0,26,53.906828
34.0,35,53.988687
45.0,46,54.094259
36.0,37,54.18126
33.0,34,54.2561
33.0,34,54.338647
44.0,45,54.445151
36.0,37,54.532604
49.0,50,54.643422
34.0,35,54.731297
49.0,50,54.846359
35.0,36,55.112107
38.0,39,55.219937
30.0,31,55.304394
26.0,27,55.382191
38.0,39,55.494679
31.0,32,55.574575
29.0,30,55.646458
38.0,39,55.741879
24.0,25,55.801202
37.0,38,55.891719
37.0,38,55.981053
45.0,46,56.089538
48.0,49,56.192078
27.0,28,56.254548
40.0,41,56.341369
36.0,37,56.4301
35.0,36,56.511505
48.0,49,56.621359
26.0,27,56.679282
29.0,30,56.74678
49.0,50,56.854655
32.0,33,56.931708
27.0,28,56.990435
32.0,33,57.064047
25.0,26,57.124373
55.0,56,57.254656
35.0,36,57.339404
55.0,56,57.479514
43.0,44,57.57813
37.0,38,57.667596
40.0,41,57.770924
